customerID,tenure,MonthlyCharges,TotalCharges,Contract,InternetService,PaymentMethod,gender,SeniorCitizen,churn,avg_charge
CUST100085,4,82.71,338.24,Two year,No,Bank transfer,Male,No,0,84.56
CUST100086,15,131.88,1975.73,Month-to-month,DSL,Mailed check,Male,No,1,131.71533333333335
CUST100087,12,37.97,464.8,Month-to-month,Fiber optic,Bank transfer,Male,No,0,38.733333333333334
CUST100088,26,70.73,1829.04,One year,Fiber optic,Credit card,Female,No,1,70.34769230769231
CUST100089,7,112.37,782.94,Month-to-month,DSL,Bank transfer,Male,No,1,111.84857142857143
CUST100090,1,67.61,47.81,Month-to-month,Fiber optic,Credit card,Female,No,1,47.81
CUST100091,14,83.57,1169.28,One year,Fiber optic,Electronic check,Male,No,0,83.52
CUST100092,17,38.13,631.99,Two year,Fiber optic,Electronic check,Male,No,1,37.17588235294118
CUST100093,9,82.85,723.37,One year,DSL,Bank transfer,Female,Yes,0,80.37444444444445
CUST100094,17,64.39,1099.8,One year,Fiber optic,Electronic check,Female,No,1,64.69411764705882
CUST100095,8,99.57,800.81,Month-to-month,Fiber optic,Credit card,Male,Yes,0,100.10125
CUST100096,8,105.62,860.62,Two year,Fiber optic,Electronic check,Male,No,1,107.5775
CUST100097,6,147.69,877.52,Month-to-month,DSL,Mailed check,Female,No,0,146.25333333333333
CUST100098,0,87.39,8.16,One year,No,Mailed check,Male,No,1,8.16
CUST100099,1,79.77,90.79,Month-to-month,Fiber optic,Bank transfer,Male,Yes,1,90.79
CUST100100,0,75.83,8.9,Two year,Fiber optic,Bank transfer,Female,Yes,0,8.9
CUST100101,12,59.41,696.41,One year,Fiber optic,Bank transfer,Male,No,0,58.034166666666664
CUST100102,4,80.15,323.59,One year,Fiber optic,Bank transfer,Male,No,0,80.8975
CUST100103,8,61.14,496.4,Month-to-month,Fiber optic,Credit card,Male,No,1,62.05
CUST100104,28,75.05,2101.54,Month-to-month,Fiber optic,Credit card,Male,No,1,75.05499999999999
CUST100105,3,109.53,286.86,One year,Fiber optic,Mailed check,Male,No,1,95.62
CUST100106,6,39.8,242.01,One year,Fiber optic,Credit card,Female,No,1,40.335
CUST100107,16,104.2,1711.45,Month-to-month,Fiber optic,Electronic check,Male,Yes,1,106.965625
CUST100108,3,109.51,321.33,Two year,DSL,Mailed check,Female,Yes,1,107.11
CUST100109,0,66.46,-14.56,Two year,Fiber optic,Bank transfer,Female,No,0,-14.56
CUST100110,4,10.0,47.47,Month-to-month,DSL,Bank transfer,Male,No,0,11.8675
CUST100111,2,51.77,109.79,One year,DSL,Credit card,Female,Yes,1,54.895
CUST100112,31,108.91,3400.06,Month-to-month,No,Mailed check,Male,No,0,109.67935483870967
CUST100113,19,69.31,1291.73,Month-to-month,Fiber optic,Credit card,Female,No,1,67.9857894736842
CUST100114,12,40.02,494.87,Month-to-month,Fiber optic,Credit card,Female,No,1,41.23916666666667
CUST100115,24,54.86,1328.45,Month-to-month,Fiber optic,Credit card,Female,No,1,55.35208333333333
CUST100116,19,95.22,1806.34,One year,No,Mailed check,Male,No,0,95.07052631578946
CUST100117,2,86.4,179.57,Month-to-month,Fiber optic,Bank transfer,Female,No,1,89.785
CUST100118,26,62.83,1654.17,One year,Fiber optic,Electronic check,Female,No,1,63.62192307692308
CUST100119,9,59.0,548.45,One year,Fiber optic,Bank transfer,Female,Yes,0,60.9388888888889
CUST100120,19,58.25,1083.89,One year,No,Mailed check,Male,No,0,57.04684210526316
CUST100121,27,42.33,1159.31,Month-to-month,No,Bank transfer,Male,Yes,1,42.937407407407406
CUST100122,4,118.46,472.55,Two year,No,Bank transfer,Female,No,0,118.1375
CUST100123,1,60.33,61.79,Month-to-month,DSL,Electronic check,Female,No,0,61.79
CUST100124,3,106.51,320.99,Month-to-month,DSL,Bank transfer,Female,No,1,106.99666666666667
CUST100125,6,115.64,690.84,Month-to-month,DSL,Bank transfer,Female,No,0,115.14
CUST100126,20,99.95,2022.83,Month-to-month,DSL,Bank transfer,Male,No,0,101.1415
CUST100127,23,57.05,1310.48,Two year,No,Credit card,Male,No,0,56.977391304347826
CUST100128,0,82.11,-22.39,Month-to-month,DSL,Mailed check,Male,No,1,-22.39
CUST100129,8,69.27,546.29,One year,DSL,Mailed check,Female,No,1,68.28625
CUST100130,6,42.89,260.91,Month-to-month,DSL,Electronic check,Male,No,0,43.48500000000001
CUST100131,3,79.73,263.77,Month-to-month,DSL,Credit card,Female,No,1,87.92333333333333
CUST100132,1,34.63,46.69,Two year,DSL,Credit card,Female,No,1,46.69
CUST100133,4,105.63,405.51,One year,Fiber optic,Bank transfer,Female,No,0,101.3775
CUST100134,34,56.06,1955.74,Month-to-month,Fiber optic,Mailed check,Male,No,1,57.521764705882354
CUST100135,4,76.03,309.42,Month-to-month,DSL,Electronic check,Female,No,0,77.355
CUST100136,8,78.5,653.51,Month-to-month,Fiber optic,Credit card,Male,Yes,1,81.68875
CUST100137,14,62.23,868.19,Month-to-month,Fiber optic,Bank transfer,Female,Yes,0,62.01357142857143
CUST100138,5,87.6,448.67,One year,DSL,Electronic check,Male,Yes,0,89.73400000000001
CUST100139,42,55.75,2358.29,One year,Fiber optic,Credit card,Female,No,1,56.1497619047619
CUST100140,39,96.14,3773.82,Month-to-month,Fiber optic,Electronic check,Male,No,1,96.76461538461538
CUST100141,3,29.62,110.01,Two year,Fiber optic,Credit card,Female,No,0,36.67
CUST100142,8,73.79,607.76,Month-to-month,Fiber optic,Electronic check,Male,No,1,75.97
CUST100143,4,128.17,506.38,Month-to-month,DSL,Credit card,Female,No,0,126.595
CUST100144,4,39.99,148.53,Month-to-month,No,Credit card,Female,No,0,37.1325
CUST100145,0,49.67,6.65,One year,No,Electronic check,Female,No,1,6.65
CUST100146,11,85.42,958.28,Month-to-month,No,Credit card,Male,No,0,87.11636363636363
CUST100147,8,75.39,598.67,Month-to-month,DSL,Credit card,Female,No,1,74.83375
CUST100148,0,80.52,21.3,Month-to-month,No,Credit card,Female,Yes,1,21.3
CUST100149,3,84.68,283.09,Month-to-month,No,Electronic check,Female,No,1,94.36333333333333
CUST100150,28,89.04,2474.79,One year,No,Electronic check,Male,No,0,88.38535714285715
CUST100151,3,103.29,293.13,Month-to-month,DSL,Credit card,Female,No,1,97.71
CUST100152,1,82.29,79.48,Month-to-month,Fiber optic,Credit card,Female,No,1,79.48
CUST100153,8,62.76,508.23,One year,No,Electronic check,Male,No,1,63.52875
CUST100154,50,90.18,4498.51,Two year,Fiber optic,Bank transfer,Female,No,0,89.9702
CUST100155,3,127.0,408.04,Two year,Fiber optic,Credit card,Male,No,1,136.01333333333335
CUST100156,13,66.02,866.74,Month-to-month,No,Bank transfer,Female,Yes,1,66.6723076923077
CUST100157,17,40.76,693.71,Month-to-month,Fiber optic,Electronic check,Male,No,1,40.8064705882353
CUST100158,3,103.21,280.91,Month-to-month,Fiber optic,Credit card,Male,No,0,93.63666666666667
CUST100159,15,66.39,969.53,Month-to-month,Fiber optic,Bank transfer,Male,No,1,64.63533333333334
CUST100160,5,10.0,55.62,Two year,No,Electronic check,Female,No,1,11.123999999999999
CUST100161,12,95.42,1102.39,Month-to-month,DSL,Bank transfer,Female,No,0,91.86583333333334
CUST100162,12,53.94,667.53,Month-to-month,Fiber optic,Mailed check,Male,No,1,55.6275
CUST100163,9,67.28,602.36,Month-to-month,Fiber optic,Electronic check,Female,No,0,66.92888888888889
CUST100164,1,79.96,144.82,Month-to-month,Fiber optic,Mailed check,Female,No,1,144.82
CUST100165,21,75.71,1636.07,One year,Fiber optic,Electronic check,Male,No,1,77.90809523809523
CUST100166,4,91.28,361.49,Month-to-month,No,Electronic check,Male,No,1,90.3725
CUST100167,2,56.94,111.75,Month-to-month,No,Credit card,Male,No,1,55.875
CUST100168,0,85.39,19.91,Month-to-month,DSL,Mailed check,Male,No,1,19.91
CUST100169,10,62.21,656.16,Month-to-month,Fiber optic,Mailed check,Female,No,1,65.616
CUST100170,13,92.16,1165.32,Month-to-month,DSL,Mailed check,Female,Yes,1,89.64
CUST100171,0,88.46,-35.73,One year,DSL,Electronic check,Female,No,1,-35.73
CUST100172,8,41.94,323.08,Month-to-month,Fiber optic,Mailed check,Female,No,1,40.385
CUST100173,3,102.58,319.39,One year,No,Mailed check,Female,No,1,106.46333333333332
CUST100174,12,53.92,656.98,Two year,No,Credit card,Female,No,0,54.748333333333335
CUST100175,2,94.24,209.88,Two year,DSL,Bank transfer,Male,No,0,104.94
CUST100176,14,81.02,1110.29,Two year,DSL,Bank transfer,Female,No,1,79.30642857142857
CUST100177,5,125.15,579.43,Month-to-month,Fiber optic,Mailed check,Female,No,1,115.886
CUST100178,33,63.3,2106.06,Month-to-month,Fiber optic,Mailed check,Female,No,1,63.82
CUST100179,1,59.52,42.96,Month-to-month,DSL,Mailed check,Male,No,1,42.96
CUST100180,5,69.42,306.73,Two year,No,Mailed check,Male,No,0,61.346000000000004
CUST100181,1,60.9,63.8,Two year,No,Bank transfer,Female,No,0,63.8
CUST100182,31,94.0,2929.86,Two year,Fiber optic,Credit card,Male,No,1,94.51161290322581
CUST100183,25,21.51,535.31,Month-to-month,No,Electronic check,Male,No,1,21.412399999999998
CUST100184,3,38.39,106.01,Two year,Fiber optic,Mailed check,Female,Yes,0,35.336666666666666
CUST100185,12,37.97,452.45,Month-to-month,Fiber optic,Mailed check,Female,No,1,37.704166666666666
CUST100186,20,98.51,1962.79,Month-to-month,Fiber optic,Bank transfer,Female,Yes,1,98.1395
CUST100187,9,121.32,1064.92,Month-to-month,DSL,Mailed check,Male,No,1,118.32444444444445
CUST100188,9,66.87,587.54,Month-to-month,No,Credit card,Male,No,0,65.28222222222222
CUST100189,3,64.94,205.25,Month-to-month,Fiber optic,Credit card,Female,Yes,1,68.41666666666667
CUST100190,1,72.1,78.53,Month-to-month,Fiber optic,Mailed check,Male,No,1,78.53
CUST100191,27,104.86,2834.58,Month-to-month,Fiber optic,Bank transfer,Male,No,1,104.98444444444443
CUST100192,27,42.18,1118.96,One year,DSL,Mailed check,Male,No,1,41.442962962962966
CUST100193,12,77.15,922.17,Two year,DSL,Mailed check,Female,No,1,76.8475
CUST100194,4,99.26,353.5,One year,Fiber optic,Bank transfer,Female,No,0,88.375
CUST100195,5,85.03,428.72,Month-to-month,Fiber optic,Credit card,Female,No,1,85.744
CUST100196,15,75.69,1163.93,One year,DSL,Electronic check,Female,No,1,77.59533333333334
CUST100197,27,100.03,2671.33,Two year,Fiber optic,Mailed check,Female,Yes,1,98.93814814814814
CUST100198,26,10.0,248.28,Month-to-month,Fiber optic,Credit card,Male,No,0,9.54923076923077
CUST100199,18,90.34,1632.7,Month-to-month,Fiber optic,Mailed check,Male,No,0,90.70555555555556
CUST100200,12,50.38,629.62,Month-to-month,Fiber optic,Electronic check,Male,No,1,52.468333333333334
CUST100201,1,15.08,6.12,Month-to-month,No,Bank transfer,Male,No,1,6.12
CUST100202,2,85.34,156.83,One year,Fiber optic,Credit card,Male,No,1,78.415
CUST100203,27,111.21,2963.29,Two year,Fiber optic,Electronic check,Male,No,1,109.75148148148148
CUST100204,11,65.88,726.75,Month-to-month,DSL,Mailed check,Female,No,1,66.06818181818181
CUST100205,0,98.59,40.84,One year,DSL,Electronic check,Female,No,0,40.84
CUST100206,1,118.37,123.92,Two year,DSL,Credit card,Male,No,1,123.92
CUST100207,13,109.45,1422.4,Two year,Fiber optic,Bank transfer,Female,No,0,109.41538461538462
CUST100208,0,119.2,6.44,Month-to-month,DSL,Mailed check,Male,No,0,6.44
CUST100209,2,92.26,184.3,Two year,DSL,Bank transfer,Male,No,0,92.15
CUST100210,9,72.26,634.08,Month-to-month,Fiber optic,Bank transfer,Female,No,1,70.45333333333333
CUST100211,14,21.94,323.63,Month-to-month,DSL,Electronic check,Female,No,1,23.11642857142857
CUST100212,12,62.62,755.96,Month-to-month,DSL,Electronic check,Male,Yes,0,62.99666666666667
CUST100213,3,44.7,134.45,Month-to-month,DSL,Credit card,Female,No,0,44.81666666666666
CUST100214,14,135.13,1872.31,One year,Fiber optic,Credit card,Male,Yes,0,133.73642857142858
CUST100215,3,64.72,220.23,Month-to-month,DSL,Bank transfer,Male,No,1,73.41
CUST100216,4,73.7,308.09,Month-to-month,Fiber optic,Credit card,Male,No,1,77.0225
CUST100217,16,86.54,1373.58,Month-to-month,Fiber optic,Bank transfer,Male,No,0,85.84875
CUST100218,12,71.31,875.76,One year,Fiber optic,Mailed check,Male,No,1,72.98
CUST100219,22,120.85,2648.75,Month-to-month,Fiber optic,Bank transfer,Female,No,1,120.39772727272727
CUST100220,12,51.32,600.2,One year,No,Credit card,Male,No,0,50.01666666666667
CUST100221,10,75.84,743.21,Month-to-month,DSL,Credit card,Female,No,1,74.321
CUST100222,1,47.73,12.31,Month-to-month,DSL,Bank transfer,Male,Yes,1,12.31
CUST100223,5,30.4,161.43,Month-to-month,DSL,Electronic check,Female,No,1,32.286
CUST100224,3,51.65,118.33,Month-to-month,DSL,Bank transfer,Male,No,1,39.443333333333335
CUST100225,3,68.89,182.1,Month-to-month,DSL,Bank transfer,Female,No,1,60.699999999999996
CUST100226,43,57.12,2414.65,Month-to-month,DSL,Electronic check,Male,No,1,56.1546511627907
CUST100227,5,49.23,244.43,Two year,Fiber optic,Mailed check,Male,No,1,48.886
CUST100228,26,27.81,720.05,One year,Fiber optic,Electronic check,Female,No,0,27.694230769230767
CUST100229,11,67.51,736.08,Month-to-month,Fiber optic,Credit card,Female,No,1,66.91636363636364
CUST100230,19,24.86,451.49,Month-to-month,Fiber optic,Electronic check,Female,No,1,23.762631578947367
CUST100231,8,92.8,718.96,Two year,DSL,Credit card,Female,No,0,89.87
CUST100232,10,72.47,733.99,Month-to-month,DSL,Credit card,Female,No,0,73.399
CUST100233,8,26.27,199.15,Month-to-month,Fiber optic,Bank transfer,Female,No,1,24.89375
CUST100234,2,60.72,127.77,One year,DSL,Bank transfer,Male,No,1,63.885
CUST100235,15,47.44,693.9,One year,DSL,Mailed check,Male,No,0,46.26
CUST100236,3,79.58,242.36,Month-to-month,Fiber optic,Credit card,Male,No,1,80.78666666666668
CUST100237,0,110.21,26.07,Month-to-month,No,Bank transfer,Female,Yes,0,26.07
CUST100238,12,13.74,176.6,Month-to-month,Fiber optic,Credit card,Female,No,0,14.716666666666667
CUST100239,2,73.45,138.65,One year,DSL,Mailed check,Female,No,0,69.325
CUST100240,33,65.2,2156.74,Month-to-month,No,Credit card,Male,No,1,65.35575757575756
CUST100241,36,90.14,3240.23,Month-to-month,Fiber optic,Mailed check,Female,No,1,90.00638888888889
CUST100242,29,76.4,2215.76,Month-to-month,Fiber optic,Mailed check,Male,No,0,76.40551724137931
CUST100243,5,47.44,230.69,Month-to-month,No,Mailed check,Female,No,1,46.138
CUST100244,0,60.43,-3.29,Two year,Fiber optic,Bank transfer,Female,No,1,-3.29
CUST100245,31,46.12,1433.96,One year,DSL,Electronic check,Female,No,0,46.25677419354839
CUST100246,6,102.28,593.81,One year,Fiber optic,Electronic check,Male,No,1,98.96833333333332
CUST100247,40,70.64,2805.28,Month-to-month,Fiber optic,Bank transfer,Female,Yes,1,70.132
CUST100248,39,127.04,4926.79,Month-to-month,Fiber optic,Credit card,Male,No,0,126.32794871794871
CUST100249,23,68.18,1536.13,Month-to-month,Fiber optic,Bank transfer,Female,Yes,1,66.78826086956522
CUST100250,4,48.75,170.65,Month-to-month,No,Credit card,Female,No,1,42.6625
CUST100251,5,24.59,126.14,Two year,No,Mailed check,Female,No,1,25.228
CUST100252,22,15.91,332.16,Month-to-month,No,Bank transfer,Female,No,0,15.09818181818182
CUST100253,4,22.48,100.19,Month-to-month,No,Electronic check,Male,No,1,25.0475
CUST100254,2,78.01,156.71,Month-to-month,No,Credit card,Female,No,1,78.355
CUST100255,9,85.26,727.97,One year,DSL,Bank transfer,Male,Yes,0,80.88555555555556
CUST100256,33,22.56,757.58,Month-to-month,DSL,Bank transfer,Female,No,0,22.956969696969697
CUST100257,14,96.85,1372.12,Month-to-month,Fiber optic,Credit card,Female,No,1,98.00857142857141
CUST100258,10,55.51,535.22,Month-to-month,No,Mailed check,Female,No,0,53.522000000000006
CUST100259,1,74.4,82.8,Two year,Fiber optic,Mailed check,Male,No,1,82.8
CUST100260,11,118.37,1284.94,Month-to-month,Fiber optic,Mailed check,Female,No,1,116.81272727272727
CUST100261,55,96.91,5332.0,Two year,DSL,Mailed check,Male,No,0,96.94545454545455
CUST100262,1,61.94,36.65,One year,DSL,Credit card,Male,No,1,36.65
CUST100263,8,43.26,310.22,Month-to-month,Fiber optic,Electronic check,Female,No,1,38.7775
CUST100264,25,10.0,242.34,One year,DSL,Bank transfer,Male,No,1,9.6936
CUST100265,16,48.43,772.41,Month-to-month,Fiber optic,Bank transfer,Female,No,1,48.275625
CUST100266,14,63.67,883.43,Two year,DSL,Mailed check,Male,No,1,63.10214285714285
CUST100267,14,40.38,541.64,Month-to-month,DSL,Credit card,Male,No,0,38.68857142857143
CUST100268,5,66.06,322.3,Month-to-month,Fiber optic,Electronic check,Male,No,1,64.46000000000001
CUST100269,4,72.31,294.63,Month-to-month,Fiber optic,Electronic check,Male,No,1,73.6575
CUST100270,19,63.25,1200.85,Month-to-month,Fiber optic,Bank transfer,Female,No,1,63.20263157894736
CUST100271,19,50.5,963.15,Two year,DSL,Mailed check,Male,Yes,0,50.69210526315789
CUST100272,24,75.06,1788.04,Month-to-month,No,Bank transfer,Female,No,1,74.50166666666667
CUST100273,29,83.26,2437.97,One year,Fiber optic,Bank transfer,Male,No,1,84.06793103448275
CUST100274,8,37.29,274.8,Month-to-month,Fiber optic,Electronic check,Female,No,1,34.35
CUST100275,8,112.33,908.39,Two year,Fiber optic,Credit card,Female,No,1,113.54875
CUST100276,19,67.04,1297.4,Month-to-month,DSL,Electronic check,Male,No,0,68.28421052631579
CUST100277,12,70.57,856.46,Month-to-month,No,Bank transfer,Male,No,0,71.37166666666667
CUST100278,14,91.25,1273.45,Month-to-month,Fiber optic,Mailed check,Female,No,0,90.96071428571429
CUST100279,19,77.0,1452.43,One year,Fiber optic,Mailed check,Male,No,1,76.44368421052631
CUST100280,26,98.59,2584.06,Month-to-month,DSL,Credit card,Male,No,0,99.38692307692307
CUST100281,4,78.61,285.98,Month-to-month,No,Credit card,Male,Yes,1,71.495
CUST100282,5,51.63,238.75,Month-to-month,Fiber optic,Credit card,Male,No,0,47.75
CUST100283,1,80.85,72.9,One year,DSL,Bank transfer,Male,No,1,72.9
CUST100284,10,35.69,381.65,Month-to-month,DSL,Bank transfer,Male,No,1,38.165
CUST100285,0,73.26,7.6,Month-to-month,No,Credit card,Male,No,1,7.6
CUST100286,7,69.0,463.64,Month-to-month,Fiber optic,Mailed check,Male,No,1,66.23428571428572
CUST100287,9,63.76,567.63,Two year,Fiber optic,Mailed check,Male,No,0,63.07
CUST100288,4,66.14,252.27,Two year,Fiber optic,Mailed check,Female,No,0,63.0675
CUST100289,10,13.54,121.2,Month-to-month,Fiber optic,Bank transfer,Male,No,0,12.120000000000001
CUST100290,0,53.54,19.58,Month-to-month,Fiber optic,Electronic check,Male,No,1,19.58
CUST100291,0,72.79,-27.43,Month-to-month,DSL,Mailed check,Male,No,1,-27.43
CUST100292,20,74.8,1528.18,Month-to-month,Fiber optic,Mailed check,Male,No,1,76.409
CUST100293,5,39.17,212.41,Month-to-month,No,Mailed check,Male,No,0,42.482
CUST100294,1,107.97,129.79,One year,DSL,Credit card,Female,No,0,129.79
CUST100295,8,44.01,342.82,Month-to-month,Fiber optic,Bank transfer,Female,No,1,42.8525
CUST100296,17,99.08,1681.36,Two year,Fiber optic,Credit card,Male,No,1,98.9035294117647
CUST100297,2,82.82,136.98,Month-to-month,Fiber optic,Credit card,Female,Yes,1,68.49
CUST100298,11,50.61,546.22,One year,No,Electronic check,Male,No,0,49.656363636363636
