customerID,tenure,MonthlyCharges,TotalCharges,Contract,InternetService,PaymentMethod,gender,SeniorCitizen,churn
CUST100025,18,104.94,1876.15,Month-to-month,DSL,Electronic check,Female,No,1
CUST100026,2,47.96,79.61,Month-to-month,No,Bank transfer,Male,No,1
CUST100027,8,45.69,344.2,Month-to-month,Fiber optic,Credit card,Female,No,1
CUST100028,10,76.02,802.7,One year,Fiber optic,Electronic check,Female,No,1
CUST100029,0,104.46,26.63,Month-to-month,Fiber optic,Mailed check,Male,No,1
CUST100030,11,39.53,473.24,Month-to-month,Fiber optic,Credit card,Female,No,1
CUST100031,2,71.85,119.24,Month-to-month,Fiber optic,Electronic check,Female,No,1
CUST100032,0,82.86,1.43,Month-to-month,Fiber optic,Bank transfer,Female,No,1
CUST100033,35,90.79,3151.78,One year,Fiber optic,Bank transfer,Female,No,0
CUST100034,40,75.29,2997.69,Month-to-month,Fiber optic,Electronic check,Male,No,1
CUST100035,19,58.99,1102.45,One year,DSL,Credit card,Male,No,1
CUST100036,4,45.17,205.47,Month-to-month,DSL,Mailed check,Female,No,0
CUST100037,1,72.58,64.66,One year,Fiber optic,Electronic check,Male,No,1
CUST100038,13,37.84,513.29,Month-to-month,DSL,Mailed check,Male,No,1
CUST100039,6,10.0,72.08,Month-to-month,Fiber optic,Bank transfer,Male,No,1
CUST100040,1,83.1,129.17,One year,DSL,Electronic check,Male,No,1
CUST100041,8,97.12,747.37,Month-to-month,DSL,Bank transfer,Male,Yes,1
CUST100042,0,10.0,25.18,One year,Fiber optic,Mailed check,Female,No,1
CUST100043,28,39.71,1134.81,One year,No,Mailed check,Male,No,1
CUST100044,3,88.57,246.24,Month-to-month,DSL,Electronic check,Female,No,1
CUST100045,13,131.72,1732.5,Month-to-month,Fiber optic,Electronic check,Male,No,1
CUST100046,4,70.62,289.2,Month-to-month,Fiber optic,Electronic check,Female,No,1
CUST100047,8,48.16,380.73,Two year,DSL,Bank transfer,Female,No,1
CUST100048,9,64.51,564.11,One year,Fiber optic,Mailed check,Female,No,1
CUST100049,2,111.25,208.12,Month-to-month,Fiber optic,Mailed check,Male,Yes,1
CUST100050,41,50.62,2116.42,Month-to-month,Fiber optic,Bank transfer,Male,No,0
CUST100051,17,46.02,782.35,Month-to-month,No,Electronic check,Female,No,1
CUST100052,33,55.52,1847.8,One year,DSL,Credit card,Female,No,0
CUST100053,27,41.4,1101.98,Month-to-month,DSL,Electronic check,Male,Yes,1
CUST100054,10,73.68,721.2,Month-to-month,No,Credit card,Male,No,1
CUST100055,30,118.74,3583.84,Two year,Fiber optic,Credit card,Female,No,0
CUST100056,1,79.69,52.7,Month-to-month,Fiber optic,Bank transfer,Male,No,0
CUST100057,2,62.43,116.56,Month-to-month,Fiber optic,Mailed check,Male,No,1
CUST100058,0,61.25,0.68,Two year,DSL,Mailed check,Male,No,1
CUST100059,4,23.1,94.63,One year,Fiber optic,Mailed check,Male,No,1
CUST100060,5,96.49,478.87,Month-to-month,DSL,Mailed check,Male,No,0
CUST100061,3,67.66,210.9,Month-to-month,DSL,Bank transfer,Male,No,0
CUST100062,21,64.59,1370.25,Month-to-month,DSL,Credit card,Female,No,1
CUST100063,5,165.79,843.64,Month-to-month,No,Mailed check,Female,No,1
CUST100064,3,78.96,217.16,Two year,DSL,Credit card,Female,No,0
CUST100065,9,47.45,421.37,Month-to-month,Fiber optic,Bank transfer,Female,No,1
CUST100066,1,57.21,81.11,One year,No,Electronic check,Female,No,0
CUST100067,19,104.45,2002.44,Two year,Fiber optic,Bank transfer,Female,No,0
CUST100068,0,73.4,-27.46,Month-to-month,Fiber optic,Mailed check,Male,Yes,1
CUST100069,52,26.85,1403.23,Month-to-month,Fiber optic,Electronic check,Male,No,1
CUST100070,17,97.58,1619.3,Month-to-month,DSL,Bank transfer,Female,No,1
CUST100071,2,49.96,100.86,Two year,Fiber optic,Bank transfer,Female,No,1
CUST100072,0,126.2,37.96,One year,Fiber optic,Credit card,Female,No,1
CUST100073,20,102.4,2029.04,Month-to-month,No,Bank transfer,Male,No,1
CUST100074,14,56.58,775.43,One year,No,Electronic check,Male,No,1
CUST100075,15,108.43,1641.73,Month-to-month,No,Bank transfer,Male,No,1
CUST100076,17,72.04,1193.82,Two year,No,Mailed check,Male,No,0
CUST100077,0,95.58,-12.66,Month-to-month,Fiber optic,Credit card,Female,Yes,1
CUST100078,5,84.54,434.63,Month-to-month,Fiber optic,Electronic check,Female,Yes,1
CUST100079,1,44.61,31.92,Two year,No,Electronic check,Female,No,1
CUST100080,23,50.69,1161.15,Month-to-month,Fiber optic,Bank transfer,Female,Yes,1
CUST100081,11,100.9,1124.78,Month-to-month,No,Mailed check,Male,Yes,1
CUST100082,4,59.96,248.27,Month-to-month,Fiber optic,Credit card,Male,No,0
CUST100083,0,57.89,5.34,Month-to-month,Fiber optic,Electronic check,Female,No,1
CUST100084,4,41.35,158.62,Month-to-month,Fiber optic,Credit card,Male,No,1
CUST100085,4,82.71,338.24,Two year,No,Bank transfer,Male,No,0
CUST100086,15,131.88,1975.73,Month-to-month,DSL,Mailed check,Male,No,1
CUST100087,12,37.97,464.8,Month-to-month,Fiber optic,Bank transfer,Male,No,0
CUST100088,26,70.73,1829.04,One year,Fiber optic,Credit card,Female,No,1
CUST100089,7,112.37,782.94,Month-to-month,DSL,Bank transfer,Male,No,1
CUST100090,1,67.61,47.81,Month-to-month,Fiber optic,Credit card,Female,No,1
CUST100091,14,83.57,1169.28,One year,Fiber optic,Electronic check,Male,No,0
CUST100092,17,38.13,631.99,Two year,Fiber optic,Electronic check,Male,No,1
CUST100093,9,82.85,723.37,One year,DSL,Bank transfer,Female,Yes,0
CUST100094,17,64.39,1099.8,One year,Fiber optic,Electronic check,Female,No,1
CUST100095,8,99.57,800.81,Month-to-month,Fiber optic,Credit card,Male,Yes,0
CUST100096,8,105.62,860.62,Two year,Fiber optic,Electronic check,Male,No,1
CUST100097,6,147.69,877.52,Month-to-month,DSL,Mailed check,Female,No,0
CUST100098,0,87.39,8.16,One year,No,Mailed check,Male,No,1
CUST100099,1,79.77,90.79,Month-to-month,Fiber optic,Bank transfer,Male,Yes,1
CUST100100,0,75.83,8.9,Two year,Fiber optic,Bank transfer,Female,Yes,0
CUST100101,12,59.41,696.41,One year,Fiber optic,Bank transfer,Male,No,0
CUST100102,4,80.15,323.59,One year,Fiber optic,Bank transfer,Male,No,0
CUST100103,8,61.14,496.4,Month-to-month,Fiber optic,Credit card,Male,No,1
CUST100104,28,75.05,2101.54,Month-to-month,Fiber optic,Credit card,Male,No,1
CUST100105,3,109.53,286.86,One year,Fiber optic,Mailed check,Male,No,1
CUST100106,6,39.8,242.01,One year,Fiber optic,Credit card,Female,No,1
CUST100107,16,104.2,1711.45,Month-to-month,Fiber optic,Electronic check,Male,Yes,1
CUST100108,3,109.51,321.33,Two year,DSL,Mailed check,Female,Yes,1
CUST100109,0,66.46,-14.56,Two year,Fiber optic,Bank transfer,Female,No,0
CUST100110,4,10.0,47.47,Month-to-month,DSL,Bank transfer,Male,No,0
CUST100111,2,51.77,109.79,One year,DSL,Credit card,Female,Yes,1
CUST100112,31,108.91,3400.06,Month-to-month,No,Mailed check,Male,No,0
CUST100113,19,69.31,1291.73,Month-to-month,Fiber optic,Credit card,Female,No,1
CUST100114,12,40.02,494.87,Month-to-month,Fiber optic,Credit card,Female,No,1
CUST100115,24,54.86,1328.45,Month-to-month,Fiber optic,Credit card,Female,No,1
CUST100116,19,95.22,1806.34,One year,No,Mailed check,Male,No,0
CUST100117,2,86.4,179.57,Month-to-month,Fiber optic,Bank transfer,Female,No,1
CUST100118,26,62.83,1654.17,One year,Fiber optic,Electronic check,Female,No,1
CUST100119,9,59.0,548.45,One year,Fiber optic,Bank transfer,Female,Yes,0
CUST100120,19,58.25,1083.89,One year,No,Mailed check,Male,No,0
CUST100121,27,42.33,1159.31,Month-to-month,No,Bank transfer,Male,Yes,1
CUST100122,4,118.46,472.55,Two year,No,Bank transfer,Female,No,0
CUST100123,1,60.33,61.79,Month-to-month,DSL,Electronic check,Female,No,0
CUST100124,3,106.51,320.99,Month-to-month,DSL,Bank transfer,Female,No,1
CUST100125,6,115.64,690.84,Month-to-month,DSL,Bank transfer,Female,No,0
CUST100126,20,99.95,2022.83,Month-to-month,DSL,Bank transfer,Male,No,0
CUST100127,23,57.05,1310.48,Two year,No,Credit card,Male,No,0
CUST100128,0,82.11,-22.39,Month-to-month,DSL,Mailed check,Male,No,1
CUST100129,8,69.27,546.29,One year,DSL,Mailed check,Female,No,1
CUST100130,6,42.89,260.91,Month-to-month,DSL,Electronic check,Male,No,0
CUST100131,3,79.73,263.77,Month-to-month,DSL,Credit card,Female,No,1
CUST100132,1,34.63,46.69,Two year,DSL,Credit card,Female,No,1
CUST100133,4,105.63,405.51,One year,Fiber optic,Bank transfer,Female,No,0
CUST100134,34,56.06,1955.74,Month-to-month,Fiber optic,Mailed check,Male,No,1
CUST100135,4,76.03,309.42,Month-to-month,DSL,Electronic check,Female,No,0
CUST100136,8,78.5,653.51,Month-to-month,Fiber optic,Credit card,Male,Yes,1
CUST100137,14,62.23,868.19,Month-to-month,Fiber optic,Bank transfer,Female,Yes,0
CUST100138,5,87.6,448.67,One year,DSL,Electronic check,Male,Yes,0
CUST100139,42,55.75,2358.29,One year,Fiber optic,Credit card,Female,No,1
CUST100140,39,96.14,3773.82,Month-to-month,Fiber optic,Electronic check,Male,No,1
CUST100141,3,29.62,110.01,Two year,Fiber optic,Credit card,Female,No,0
CUST100142,8,73.79,607.76,Month-to-month,Fiber optic,Electronic check,Male,No,1
CUST100143,4,128.17,506.38,Month-to-month,DSL,Credit card,Female,No,0
CUST100144,4,39.99,148.53,Month-to-month,No,Credit card,Female,No,0
CUST100145,0,49.67,6.65,One year,No,Electronic check,Female,No,1
CUST100146,11,85.42,958.28,Month-to-month,No,Credit card,Male,No,0
CUST100147,8,75.39,598.67,Month-to-month,DSL,Credit card,Female,No,1
CUST100148,0,80.52,21.3,Month-to-month,No,Credit card,Female,Yes,1
CUST100149,3,84.68,283.09,Month-to-month,No,Electronic check,Female,No,1
CUST100150,28,89.04,2474.79,One year,No,Electronic check,Male,No,0
CUST100151,3,103.29,293.13,Month-to-month,DSL,Credit card,Female,No,1
CUST100152,1,82.29,79.48,Month-to-month,Fiber optic,Credit card,Female,No,1
CUST100153,8,62.76,508.23,One year,No,Electronic check,Male,No,1
CUST100154,50,90.18,4498.51,Two year,Fiber optic,Bank transfer,Female,No,0
CUST100155,3,127.0,408.04,Two year,Fiber optic,Credit card,Male,No,1
CUST100156,13,66.02,866.74,Month-to-month,No,Bank transfer,Female,Yes,1
CUST100157,17,40.76,693.71,Month-to-month,Fiber optic,Electronic check,Male,No,1
CUST100158,3,103.21,280.91,Month-to-month,Fiber optic,Credit card,Male,No,0
CUST100159,15,66.39,969.53,Month-to-month,Fiber optic,Bank transfer,Male,No,1
CUST100160,5,10.0,55.62,Two year,No,Electronic check,Female,No,1
CUST100161,12,95.42,1102.39,Month-to-month,DSL,Bank transfer,Female,No,0
CUST100162,12,53.94,667.53,Month-to-month,Fiber optic,Mailed check,Male,No,1
CUST100163,9,67.28,602.36,Month-to-month,Fiber optic,Electronic check,Female,No,0
CUST100164,1,79.96,144.82,Month-to-month,Fiber optic,Mailed check,Female,No,1
CUST100165,21,75.71,1636.07,One year,Fiber optic,Electronic check,Male,No,1
CUST100166,4,91.28,361.49,Month-to-month,No,Electronic check,Male,No,1
CUST100167,2,56.94,111.75,Month-to-month,No,Credit card,Male,No,1
CUST100168,0,85.39,19.91,Month-to-month,DSL,Mailed check,Male,No,1
CUST100169,10,62.21,656.16,Month-to-month,Fiber optic,Mailed check,Female,No,1
CUST100170,13,92.16,1165.32,Month-to-month,DSL,Mailed check,Female,Yes,1
CUST100171,0,88.46,-35.73,One year,DSL,Electronic check,Female,No,1
CUST100172,8,41.94,323.08,Month-to-month,Fiber optic,Mailed check,Female,No,1
CUST100173,3,102.58,319.39,One year,No,Mailed check,Female,No,1
CUST100174,12,53.92,656.98,Two year,No,Credit card,Female,No,0
CUST100175,2,94.24,209.88,Two year,DSL,Bank transfer,Male,No,0
CUST100176,14,81.02,1110.29,Two year,DSL,Bank transfer,Female,No,1
CUST100177,5,125.15,579.43,Month-to-month,Fiber optic,Mailed check,Female,No,1
CUST100178,33,63.3,2106.06,Month-to-month,Fiber optic,Mailed check,Female,No,1
CUST100179,1,59.52,42.96,Month-to-month,DSL,Mailed check,Male,No,1
CUST100180,5,69.42,306.73,Two year,No,Mailed check,Male,No,0
CUST100181,1,60.9,63.8,Two year,No,Bank transfer,Female,No,0
CUST100182,31,94.0,2929.86,Two year,Fiber optic,Credit card,Male,No,1
CUST100183,25,21.51,535.31,Month-to-month,No,Electronic check,Male,No,1
CUST100184,3,38.39,106.01,Two year,Fiber optic,Mailed check,Female,Yes,0
CUST100185,12,37.97,452.45,Month-to-month,Fiber optic,Mailed check,Female,No,1
CUST100186,20,98.51,1962.79,Month-to-month,Fiber optic,Bank transfer,Female,Yes,1
CUST100187,9,121.32,1064.92,Month-to-month,DSL,Mailed check,Male,No,1
CUST100188,9,66.87,587.54,Month-to-month,No,Credit card,Male,No,0
CUST100189,3,64.94,205.25,Month-to-month,Fiber optic,Credit card,Female,Yes,1
CUST100190,1,72.1,78.53,Month-to-month,Fiber optic,Mailed check,Male,No,1
CUST100191,27,104.86,2834.58,Month-to-month,Fiber optic,Bank transfer,Male,No,1
CUST100192,27,42.18,1118.96,One year,DSL,Mailed check,Male,No,1
CUST100193,12,77.15,922.17,Two year,DSL,Mailed check,Female,No,1
CUST100194,4,99.26,353.5,One year,Fiber optic,Bank transfer,Female,No,0
CUST100195,5,85.03,428.72,Month-to-month,Fiber optic,Credit card,Female,No,1
CUST100196,15,75.69,1163.93,One year,DSL,Electronic check,Female,No,1
CUST100197,27,100.03,2671.33,Two year,Fiber optic,Mailed check,Female,Yes,1
CUST100198,26,10.0,248.28,Month-to-month,Fiber optic,Credit card,Male,No,0
CUST100199,18,90.34,1632.7,Month-to-month,Fiber optic,Mailed check,Male,No,0
CUST100200,12,50.38,629.62,Month-to-month,Fiber optic,Electronic check,Male,No,1
CUST100201,1,15.08,6.12,Month-to-month,No,Bank transfer,Male,No,1
CUST100202,2,85.34,156.83,One year,Fiber optic,Credit card,Male,No,1
CUST100203,27,111.21,2963.29,Two year,Fiber optic,Electronic check,Male,No,1
CUST100204,11,65.88,726.75,Month-to-month,DSL,Mailed check,Female,No,1
CUST100205,0,98.59,40.84,One year,DSL,Electronic check,Female,No,0
CUST100206,1,118.37,123.92,Two year,DSL,Credit card,Male,No,1
CUST100207,13,109.45,1422.4,Two year,Fiber optic,Bank transfer,Female,No,0
CUST100208,0,119.2,6.44,Month-to-month,DSL,Mailed check,Male,No,0
CUST100209,2,92.26,184.3,Two year,DSL,Bank transfer,Male,No,0
CUST100210,9,72.26,634.08,Month-to-month,Fiber optic,Bank transfer,Female,No,1
CUST100211,14,21.94,323.63,Month-to-month,DSL,Electronic check,Female,No,1
CUST100212,12,62.62,755.96,Month-to-month,DSL,Electronic check,Male,Yes,0
CUST100213,3,44.7,134.45,Month-to-month,DSL,Credit card,Female,No,0
CUST100214,14,135.13,1872.31,One year,Fiber optic,Credit card,Male,Yes,0
CUST100215,3,64.72,220.23,Month-to-month,DSL,Bank transfer,Male,No,1
CUST100216,4,73.7,308.09,Month-to-month,Fiber optic,Credit card,Male,No,1
CUST100217,16,86.54,1373.58,Month-to-month,Fiber optic,Bank transfer,Male,No,0
CUST100218,12,71.31,875.76,One year,Fiber optic,Mailed check,Male,No,1
CUST100219,22,120.85,2648.75,Month-to-month,Fiber optic,Bank transfer,Female,No,1
CUST100220,12,51.32,600.2,One year,No,Credit card,Male,No,0
CUST100221,10,75.84,743.21,Month-to-month,DSL,Credit card,Female,No,1
CUST100222,1,47.73,12.31,Month-to-month,DSL,Bank transfer,Male,Yes,1
CUST100223,5,30.4,161.43,Month-to-month,DSL,Electronic check,Female,No,1
CUST100224,3,51.65,118.33,Month-to-month,DSL,Bank transfer,Male,No,1
CUST100225,3,68.89,182.1,Month-to-month,DSL,Bank transfer,Female,No,1
CUST100226,43,57.12,2414.65,Month-to-month,DSL,Electronic check,Male,No,1
CUST100227,5,49.23,244.43,Two year,Fiber optic,Mailed check,Male,No,1
CUST100228,26,27.81,720.05,One year,Fiber optic,Electronic check,Female,No,0
CUST100229,11,67.51,736.08,Month-to-month,Fiber optic,Credit card,Female,No,1
CUST100230,19,24.86,451.49,Month-to-month,Fiber optic,Electronic check,Female,No,1
CUST100231,8,92.8,718.96,Two year,DSL,Credit card,Female,No,0
CUST100232,10,72.47,733.99,Month-to-month,DSL,Credit card,Female,No,0
CUST100233,8,26.27,199.15,Month-to-month,Fiber optic,Bank transfer,Female,No,1
CUST100234,2,60.72,127.77,One year,DSL,Bank transfer,Male,No,1
CUST100235,15,47.44,693.9,One year,DSL,Mailed check,Male,No,0
CUST100236,3,79.58,242.36,Month-to-month,Fiber optic,Credit card,Male,No,1
CUST100237,0,110.21,26.07,Month-to-month,No,Bank transfer,Female,Yes,0
CUST100238,12,13.74,176.6,Month-to-month,Fiber optic,Credit card,Female,No,0
CUST100239,2,73.45,138.65,One year,DSL,Mailed check,Female,No,0
CUST100240,33,65.2,2156.74,Month-to-month,No,Credit card,Male,No,1
CUST100241,36,90.14,3240.23,Month-to-month,Fiber optic,Mailed check,Female,No,1
CUST100242,29,76.4,2215.76,Month-to-month,Fiber optic,Mailed check,Male,No,0
CUST100243,5,47.44,230.69,Month-to-month,No,Mailed check,Female,No,1
CUST100244,0,60.43,-3.29,Two year,Fiber optic,Bank transfer,Female,No,1
CUST100245,31,46.12,1433.96,One year,DSL,Electronic check,Female,No,0
CUST100246,6,102.28,593.81,One year,Fiber optic,Electronic check,Male,No,1
CUST100247,40,70.64,2805.28,Month-to-month,Fiber optic,Bank transfer,Female,Yes,1
CUST100248,39,127.04,4926.79,Month-to-month,Fiber optic,Credit card,Male,No,0
CUST100249,23,68.18,1536.13,Month-to-month,Fiber optic,Bank transfer,Female,Yes,1
CUST100250,4,48.75,170.65,Month-to-month,No,Credit card,Female,No,1
CUST100251,5,24.59,126.14,Two year,No,Mailed check,Female,No,1
CUST100252,22,15.91,332.16,Month-to-month,No,Bank transfer,Female,No,0
CUST100253,4,22.48,100.19,Month-to-month,No,Electronic check,Male,No,1
CUST100254,2,78.01,156.71,Month-to-month,No,Credit card,Female,No,1
CUST100255,9,85.26,727.97,One year,DSL,Bank transfer,Male,Yes,0
CUST100256,33,22.56,757.58,Month-to-month,DSL,Bank transfer,Female,No,0
CUST100257,14,96.85,1372.12,Month-to-month,Fiber optic,Credit card,Female,No,1
CUST100258,10,55.51,535.22,Month-to-month,No,Mailed check,Female,No,0
CUST100259,1,74.4,82.8,Two year,Fiber optic,Mailed check,Male,No,1
CUST100260,11,118.37,1284.94,Month-to-month,Fiber optic,Mailed check,Female,No,1
CUST100261,55,96.91,5332.0,Two year,DSL,Mailed check,Male,No,0
CUST100262,1,61.94,36.65,One year,DSL,Credit card,Male,No,1
CUST100263,8,43.26,310.22,Month-to-month,Fiber optic,Electronic check,Female,No,1
CUST100264,25,10.0,242.34,One year,DSL,Bank transfer,Male,No,1
CUST100265,16,48.43,772.41,Month-to-month,Fiber optic,Bank transfer,Female,No,1
CUST100266,14,63.67,883.43,Two year,DSL,Mailed check,Male,No,1
CUST100267,14,40.38,541.64,Month-to-month,DSL,Credit card,Male,No,0
CUST100268,5,66.06,322.3,Month-to-month,Fiber optic,Electronic check,Male,No,1
CUST100269,4,72.31,294.63,Month-to-month,Fiber optic,Electronic check,Male,No,1
CUST100270,19,63.25,1200.85,Month-to-month,Fiber optic,Bank transfer,Female,No,1
CUST100271,19,50.5,963.15,Two year,DSL,Mailed check,Male,Yes,0
CUST100272,24,75.06,1788.04,Month-to-month,No,Bank transfer,Female,No,1
CUST100273,29,83.26,2437.97,One year,Fiber optic,Bank transfer,Male,No,1
CUST100274,8,37.29,274.8,Month-to-month,Fiber optic,Electronic check,Female,No,1
CUST100275,8,112.33,908.39,Two year,Fiber optic,Credit card,Female,No,1
CUST100276,19,67.04,1297.4,Month-to-month,DSL,Electronic check,Male,No,0
CUST100277,12,70.57,856.46,Month-to-month,No,Bank transfer,Male,No,0
CUST100278,14,91.25,1273.45,Month-to-month,Fiber optic,Mailed check,Female,No,0
CUST100279,19,77.0,1452.43,One year,Fiber optic,Mailed check,Male,No,1
CUST100280,26,98.59,2584.06,Month-to-month,DSL,Credit card,Male,No,0
CUST100281,4,78.61,285.98,Month-to-month,No,Credit card,Male,Yes,1
CUST100282,5,51.63,238.75,Month-to-month,Fiber optic,Credit card,Male,No,0
CUST100283,1,80.85,72.9,One year,DSL,Bank transfer,Male,No,1
CUST100284,10,35.69,381.65,Month-to-month,DSL,Bank transfer,Male,No,1
CUST100285,0,73.26,7.6,Month-to-month,No,Credit card,Male,No,1
CUST100286,7,69.0,463.64,Month-to-month,Fiber optic,Mailed check,Male,No,1
CUST100287,9,63.76,567.63,Two year,Fiber optic,Mailed check,Male,No,0
CUST100288,4,66.14,252.27,Two year,Fiber optic,Mailed check,Female,No,0
CUST100289,10,13.54,121.2,Month-to-month,Fiber optic,Bank transfer,Male,No,0
CUST100290,0,53.54,19.58,Month-to-month,Fiber optic,Electronic check,Male,No,1
CUST100291,0,72.79,-27.43,Month-to-month,DSL,Mailed check,Male,No,1
CUST100292,20,74.8,1528.18,Month-to-month,Fiber optic,Mailed check,Male,No,1
CUST100293,5,39.17,212.41,Month-to-month,No,Mailed check,Male,No,0
CUST100294,1,107.97,129.79,One year,DSL,Credit card,Female,No,0
CUST100295,8,44.01,342.82,Month-to-month,Fiber optic,Bank transfer,Female,No,1
CUST100296,17,99.08,1681.36,Two year,Fiber optic,Credit card,Male,No,1
CUST100297,2,82.82,136.98,Month-to-month,Fiber optic,Credit card,Female,Yes,1
CUST100298,11,50.61,546.22,One year,No,Electronic check,Male,No,0
CUST100299,1,123.26,133.13,Month-to-month,Fiber optic,Credit card,Male,No,1
CUST100300,0,34.19,25.92,Month-to-month,DSL,Electronic check,Female,No,1
CUST100301,9,97.57,855.99,Month-to-month,No,Credit card,Female,No,1
CUST100302,9,100.02,892.87,Month-to-month,Fiber optic,Mailed check,Female,No,1
CUST100303,12,49.88,595.53,Month-to-month,No,Bank transfer,Female,No,1
CUST100304,15,111.77,1648.63,One year,Fiber optic,Credit card,Female,No,1
CUST100305,44,62.5,2761.83,Two year,No,Electronic check,Male,No,1
CUST100306,8,78.66,614.8,Month-to-month,DSL,Bank transfer,Male,No,1
CUST100307,4,77.81,307.33,Month-to-month,DSL,Electronic check,Male,No,1
CUST100308,19,65.97,1244.39,Month-to-month,No,Mailed check,Female,No,1
CUST100309,3,94.32,267.17,Month-to-month,DSL,Credit card,Male,No,0
CUST100310,6,93.8,562.66,Month-to-month,DSL,Bank transfer,Female,Yes,0
CUST100311,0,17.54,-4.31,One year,Fiber optic,Mailed check,Male,No,1
CUST100312,0,109.13,-7.44,Two year,No,Credit card,Female,Yes,0
CUST100313,39,20.13,770.5,Two year,DSL,Credit card,Female,No,0
CUST100314,21,100.98,2126.97,Month-to-month,No,Electronic check,Male,No,1
CUST100315,14,103.8,1486.27,Two year,Fiber optic,Electronic check,Male,No,1
CUST100316,6,37.27,226.42,One year,Fiber optic,Mailed check,Male,No,1
CUST100317,2,57.68,135.28,Month-to-month,No,Electronic check,Male,No,1
CUST100318,2,36.83,45.86,Month-to-month,Fiber optic,Mailed check,Female,No,1
CUST100319,3,63.55,193.81,One year,DSL,Mailed check,Male,No,0
CUST100320,9,60.76,524.89,Month-to-month,DSL,Mailed check,Female,No,1
CUST100321,15,93.39,1371.31,Month-to-month,Fiber optic,Electronic check,Male,No,1
CUST100322,12,109.31,1296.93,Month-to-month,Fiber optic,Bank transfer,Male,No,1
CUST100323,3,111.87,359.45,Month-to-month,No,Mailed check,Male,No,1
CUST100324,37,53.13,1984.81,Month-to-month,Fiber optic,Bank transfer,Male,No,1
CUST100325,16,63.72,1024.38,Two year,Fiber optic,Credit card,Male,No,1
CUST100326,9,19.5,144.85,One year,Fiber optic,Electronic check,Female,No,0
CUST100327,11,45.82,500.09,One year,DSL,Electronic check,Male,No,0
CUST100328,6,98.95,599.73,Month-to-month,DSL,Bank transfer,Female,Yes,1
CUST100329,3,118.47,358.92,One year,No,Credit card,Male,No,0
CUST100330,5,32.97,127.97,Month-to-month,DSL,Credit card,Female,No,0
CUST100331,17,52.23,870.1,Month-to-month,DSL,Mailed check,Male,No,0
CUST100332,0,69.21,-1.28,Month-to-month,Fiber optic,Electronic check,Male,No,1
CUST100333,1,78.4,89.13,Month-to-month,Fiber optic,Credit card,Male,No,1
CUST100334,0,45.71,-43.92,Month-to-month,No,Credit card,Female,No,1
CUST100335,0,82.72,-3.24,Month-to-month,DSL,Mailed check,Female,No,0
CUST100336,23,55.78,1285.8,Month-to-month,DSL,Mailed check,Male,Yes,0
CUST100337,14,69.57,990.97,Month-to-month,DSL,Bank transfer,Male,No,1
CUST100338,7,86.39,618.59,Two year,Fiber optic,Electronic check,Male,No,1
CUST100339,1,70.19,81.84,Month-to-month,Fiber optic,Credit card,Female,No,1
CUST100340,8,56.91,439.28,One year,Fiber optic,Bank transfer,Male,No,0
CUST100341,7,66.71,428.81,Month-to-month,No,Electronic check,Female,No,1
CUST100342,2,67.35,126.84,Month-to-month,No,Bank transfer,Male,No,1
CUST100343,6,58.9,373.43,Two year,DSL,Electronic check,Female,No,0
CUST100344,6,62.24,401.31,Month-to-month,Fiber optic,Electronic check,Female,No,1
